disease_id,symptom_id
1,1
2,2
3,1
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,6
13,11
14,12
15,13
16,14
17,15
18,1
19,16
20,17
21,17
22,18
23,13
24,19
25,20
26,21
27,18
28,22
29,17
30,6
31,17
32,23
33,24
34,25
35,7
36,26
37,12
38,23
39,6
40,27
40,28
41,29
41,30
42,4
42,31
43,27
43,3
44,27
44,28
45,3
45,32
46,33
46,34
47,17
47,35
48,3
48,36
49,17
49,15
50,6
50,22
12,31
12,32
51,26
51,37
52,3
52,6
53,27
53,3
54,38
54,3
55,27
55,28
56,28
56,38
57,38
58,39
58,3
59,27
59,17
60,17
60,40
61,39
61,3
62,39
62,3
63,3
63,40
64,38
64,3
2,29
2,38
65,38
65,17
66,41
66,42
67,3
67,20
68,17
68,43
69,17
69,44
70,17
70,45
71,3
71,17
72,39
72,46
73,47
73,48
74,3
74,6
75,28
75,49
76,50
76,51
77,28
77,39
78,28
78,52
1,38
2,12
3,6
4,53
5,23
6,54
7,55
8,1
9,27
10,56
11,17
12,19
13,57
14,2
15,27
16,1
17,54
18,15
19,58
20,24
21,59
22,23
23,1
24,56
25,60
26,17
27,53
28,61
29,62
30,63
31,59
32,64
33,17
34,65
35,66
36,57
37,2
38,19
39,67
40,68
41,38
42,69
43,40
44,4
45,70
46,52
47,24
48,71
49,52
50,56
51,46
52,72
53,17
54,52
55,17
56,39
57,3
57,17
58,40
59,73
60,19
61,17
62,17
63,18
64,17
2,17
65,15
66,74
67,9
68,75
69,76
70,35
71,77
72,78
73,79
74,19
75,80
76,81
77,82
78,83
1,84
2,7
3,17
4,18
5,19
6,85
7,86
8,87
9,88
10,17
11,56
12,67
13,89
14,90
15,91
16,92
17,17
18,22
19,93
20,61
21,94
22,95
23,27
24,3
25,96
26,84
27,41
28,9
29,97
30,98
31,94
32,99
33,59
34,27
35,1
36,47
37,27
38,4
39,19
40,100
41,65
42,3
43,19
44,50
45,18
46,101
47,73
48,102
49,20
50,103
12,104
51,56
52,105
53,35
54,9
55,73
56,3
57,52
58,106
59,40
60,70
61,40
62,52
63,107
64,35
2,15
65,52
66,108
67,22
68,109
69,45
70,24
71,9
72,110
73,111
74,112
75,113
76,114
77,115
78,116
1,17
2,117
3,118
4,19
5,32
6,23
7,2
8,119
9,120
10,71
11,106
12,56
13,62
14,121
16,6
17,122
18,20
20,9
22,123
24,9
26,12
27,23
28,20
29,56
30,124
31,6
32,32
33,61
34,120
35,125
37,13
38,126
39,56
42,15
43,70
44,127
45,128
47,129
49,130
50,94
12,131
51,103
53,52
54,6
55,52
56,17
57,6
58,19
59,106
60,132
61,106
62,40
63,133
64,15
2,52
65,20
66,134
68,135
69,73
70,9
71,6
72,79
73,136
74,103
77,137
78,138
1,139
2,121
42,22
43,18
45,140
47,104
49,141
12,48
53,40
54,19
55,6
56,52
57,19
58,70
59,70
60,130
61,19
62,106
63,142
64,52
2,6
65,9
68,143
69,56
70,102
71,19
72,136
74,144
77,145
43,132
47,109
12,146
53,106
54,102
55,70
56,6
57,41
58,18
59,18
61,70
62,19
63,147
64,20
2,148
65,149
68,150
69,151
70,152
71,104
47,131
12,59
53,18
54,11
55,21
56,19
57,18
58,102
59,153
61,18
62,70
64,9
2,149
65,154
69,155
70,131
71,131
47,156
12,157
55,148
56,70
57,102
58,21
59,132
61,132
62,18
64,70
2,154
65,22
69,158
70,47
71,159
47,160
55,149
56,161
57,162
58,132
59,149
62,132
64,21
2,163
65,152
69,164
70,59
71,165
55,166
56,26
57,167
58,11
59,168
62,169
64,132
2,25
65,170
69,146
70,171
71,59
56,149
59,172
62,173
64,148
2,174
69,59
71,61
56,11
62,175
64,149
69,171
56,166
64,154
64,22
2,22
64,176
2,177
2,11
