symptom,symptom_id
Fever,1
Runny nose,2
Vomiting,3
Stomach pain,4
Heartburn,5
Headache,6
Sore throat,7
Red eyes,8
Sweating,9
Dry mouth,10
Muscle pain,11
Sneezing,12
Rash,13
Ear pain,14
Cough,15
Burning urination,16
Fatigue,17
Abdominal pain,18
Nausea,19
Breathlessness,20
Mild fever,21
Chest pain,22
Bloating,23
Restlessness,24
Redness of eyes,25
Back pain,26
Itching,27
Skin rash,28
Continuous sneezing,29
Shivering,30
Acidity,31
Indigestion,32
Muscle wasting,33
Patches in throat,34
Weight loss,35
Sunken eyes,36
Weakness in limbs,37
Chills,38
Joint pain,39
Yellowish skin,40
Constipation,41
Pain during bowel movements,42
Cramps,43
Weight gain,44
Mood swings,45
Neck pain,46
Muscle weakness,47
Stiff neck,48
Pus filled pimples,49
Burning micturition,50
Bladder discomfort,51
High fever,52
Diarrhea,53
Chest discomfort,54
Facial pain,55
Dizziness,56
Stiffness,57
Frequent urination,58
Irritability,59
Wheezing,60
Palpitations,61
Weakness,62
Eye pain,63
Gas,64
Watering from eyes,65
Pain while swallowing,66
Sensitivity to light,67
Nodal skin eruptions,68
Ulcers on tongue,69
Loss of appetite,70
Dehydration,71
Weakness of one body side,72
Lethargy,73
Pain in anal region,74
Bruising,75
Cold hands and feets,76
Anxiety,77
Knee pain,78
Swelling joints,79
Blackheads,80
Foul smell of urine,81
Skin peeling,82
Blister,83
Body ache,84
Sour taste,85
Nasal congestion,86
Difficulty swallowing,87
Watery eyes,88
Swelling,89
Itchy eyes,90
Redness,91
Hearing difficulty,92
Lower abdominal pain,93
Lack of concentration,94
Hard stools,95
Chest tightness,96
Hair loss,97
Dry eyes,98
Abdominal discomfort,99
Dischromic  patches,100
Extra marital contacts,101
Diarrhoea,102
Loss of balance,103
Blurred and distorted vision,104
Altered sensorium,105
Dark urine,106
Swelling of stomach,107
Bloody stool,108
Obesity,109
Hip joint pain,110
Movement stiffness,111
Spinning movements,112
Scurring,113
Continuous feel of urine,114
Silver like dusting,115
Red sore around nose,116
Mild cough,117
Body pain,118
Swollen tonsils,119
Discharge,120
Congestion,121
Mucus,122
Straining,123
Blurred vision,124
Hoarseness,125
Burping,126
Spotting  urination,127
Passage of gases,128
Irregular sugar level,129
Family history,130
Excessive hunger,131
Yellowing of eyes,132
Distention of abdomen,133
Irritation in anus,134
Swollen legs,135
Painful walking,136
Small dents in nails,137
Yellow crust ooze,138
Dry cough,139
Internal itching,140
Mucoid sputum,141
History of alcohol consumption,142
Swollen blood vessels,143
Unsteadiness,144
Inflammatory nails,145
Depression,146
Fluid overload,147
Swelled lymph nodes,148
Malaise,149
Prominent veins on calf,150
Puffy face and eyes,151
Fast heart rate,152
Yellow urine,153
Phlegm,154
Enlarged thyroid,155
Increased appetite,156
Visual disturbances,157
Brittle nails,158
Drying and tingling lips,159
Polyuria,160
Pain behind the eyes,161
Toxic look (typhos),162
Throat irritation,163
Swollen extremeties,164
Slurred speech,165
Red spots over body,166
Belly pain,167
Receiving blood transfusion,168
Acute liver failure,169
Rusty sputum,170
Abnormal menstruation,171
Receiving unsterile injections,172
Coma,173
Sinus pressure,174
Stomach bleeding,175
Blood in sputum,176
Loss of smell,177
